cleaner, sausage, tropical fruit, whole milk, citrus fruit, onions, other vegetables, berries, hamburger meat, hamburger meat, other vegetables, hamburger meat, bottled water, butter, yogurt, yogurt, waffles, soda, sliced cheese, curd, specialty chocolate, shopping bags, bottled water, other vegetables, flower (seeds), coffee, whipped/sour cream, yogurt, whipped/sour cream, frozen potato products, candles, yogurt, bottled beer, Instant food products, frozen vegetables, shopping bags, frozen vegetables, whole milk, brown bread, bottled water, soda, frozen vegetables, Instant food products, domestic eggs, waffles, dishes, chocolate, bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
canned beer, frozen meals, butter, ham, citrus fruit, tropical fruit, dessert, whole milk, tropical fruit, frankfurter, butter, sausage, citrus fruit, canned beer, pork, beef, white bread, meat, whipped/sour cream, sausage, tropical fruit, hamburger meat, other vegetables, pastry, brown bread, whole milk, turkey, soda, canned beer, pip fruit, citrus fruit, tropical fruit, bottled beer, soda, margarine, pickled vegetables, pastry, brown bread, salt, whole milk, spread cheese, bottled water, curd, fruit/vegetable juice, pot plants, dishes, chocolate, salty snack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rolls/buns, liquor (appetizer), pastry, finished products, tropical fruit, meat, long life bakery product, citrus fruit, curd, rolls/buns, other vegetables, specialty bar, brown bread, sliced cheese, whole milk, meat, citrus fruit, berries, salty snack, beef, white wine, yogurt, misc. beverages, candy, syrup, dessert, dessert, whole milk, bottled beer, yogurt, long life bakery product, other vegetables, domestic eggs, candles, processed cheese, sugar, root vegetables, tropical fruit, other vegetables, beverages, napkins, flour, rolls/buns, rolls/buns, misc. beverages, bottled water, yogurt, dessert, pastry, sugar, rolls/buns, whole milk, long life bakery product, yogurt, soda, candles, bottled beer, napkins, whisky, napkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
citrus fruit, other vegetables, white bread, bottled water, root vegetables, other vegetables, ice cream, sausage, rolls/buns, semi-finished bread, whole milk, sausage, pastry, sausage, chicken, tropical fruit, bottled beer, turkey, other vegetables, tropical fruit, tropical fruit, whole milk, yogurt, misc. beverages, canned fish, tropical fruit, tropical fruit, red/blush wine, processed cheese, rolls/buns, cream cheese , seasonal products, spices, yogurt, soda, citrus fruit, cake bar, newspapers, tropical fruit, root vegetables, sugar, cream cheese , coffee, fruit/vegetable juice, female sanitary products, shopping bags, waffles, salty snack, rolls/buns, soda, domestic eggs, mayonnaise, rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sausage, whole milk, other vegetables, whole milk, whole milk, soda, rolls/buns, other vegetables, other vegetables, soda, fruit/vegetable juice, whole milk, dessert, yogurt, domestic eggs, misc. beverages, fruit/vegetable juice, detergent, other vegetables, rolls/buns, beverages, other vegetables, chewing gum, soups, bottled water, margarine, whole milk, ice cream, semi-finished bread, shopping bags, soda, soda, cream cheese ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other vegetables, berries, bottled water, whole milk, yogurt, whole milk, canned beer, sausage, yogurt, tropical fruit, whole milk, whole milk, cat food, ham, onions, onions, detergent, other vegetables, whole milk, curd cheese, canned beer, other vegetables, butter, other vegetables, soda, shopping bags, bottled beer, pip fruit, seasonal products, other vegetables, soda, soda, root vegetables, soda, sliced cheese, other vegetables, liquor (appetizer), coffee, salty snack, specialty chocolate, curd, pastry, dishes, newspapers, curd, sugar, detergent, nut snack, zwieback, canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beef, berries, sausage, meat, root vegetables, curd, whole milk, frozen vegetables, whole milk, shopping bags, newspapers, pip fruit, soda, rolls/buns, pork, whole milk, whole milk, candy, pip fruit, newspapers, chocolate, whipped/sour cream, yogurt, white wine, butter, specialty bar, other vegetables, bottled water, bottled beer, brown bread, oil, long life bakery product, other vegetables, frozen potato products, other vegetables, sugar, brown bread, specialty bar, hard cheese, flour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chicken, ice cream, sparkling wine, whole milk, canned beer, berries, whole milk, sausage, whole milk, sausage, tropical fruit, sausage, chicken, chicken, butter, frankfurter, whole milk, whipped/sour cream, tropical fruit, frankfurter, root vegetables, chicken, tropical fruit, coffee, other vegetables, root vegetables, butter, oil, root vegetables, bottled water, coffee, other vegetables, frozen vegetables, rolls/buns, rolls/buns, whole milk, dessert, mayonnaise, pip fruit, pip fruit, whole milk, long life bakery product, curd, yogurt, curd cheese, hamburger meat, herbs, white bread, napkins, fruit/vegetable juice, seasonal products, yogurt, cream cheese , sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other vegetables, pip fruit, frankfurter, sugar, other vegetables, frozen vegetables, beef, waffles, beef, meat, root vegetables, pastry, butter, brown bread, root vegetables, frozen vegetables, ice cream, soda, rolls/buns, brown bread, chicken, citrus fruit, soda, white bread, frozen fish, sparkling wine, cream cheese , whole milk, tropical fruit, fruit/vegetable juice, yogurt, condensed milk, curd, soft cheese, canned beer, candy, yogurt, bottled beer, dessert, yogurt, shopping bags, whipped/sour cream, butter milk, butter, pickled vegetables, other vegetables, fruit/vegetable juice, frozen dessert, hard cheese, waffles, frozen vegetables, soda, oil, soda, bottled beer, frozen meals, napkins, misc. beverages, bottled water, brown bread, specialty bar, dishes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk, canned beer, bottled water, soda, whole milk, other vegetables, whole milk, canned beer, pip fruit, tropical fruit, domestic eggs, other vegetables, frozen meals, pork, canned beer, sausage, whole milk, ham, pork, canned beer, soda, root vegetables, sausage, beef, yogurt, yogurt, whole milk, brown bread, other vegetables, whole milk, yogurt, yogurt, other vegetables, sliced cheese, liver loaf, other vegetables, tropical fruit, long life bakery product, whole milk, frozen vegetables, beef, yogurt, pork, waffles, tropical fruit, other vegetables, whole milk, pip fruit, UHT-milk, whole milk, yogurt, cream cheese , processed cheese, canned fish, oil, flower (seeds), white bread, newspapers, oil, sugar, artif. sweetener,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sausage, meat, sugar, sausage, bottled beer, whole milk, other vegetables, root vegetables, fruit/vegetable juice, soda, pastry, canned beer, yogurt, butter milk, spices, soda, root vegetables, other vegetables, berries, soda, margarine, domestic eggs, processed cheese, white bread, hard cheese, canned beer, salty snack, other vegetables, spices, bottled water, liqueur, shopping bags, shopping bags, newspapers, cat food, margarine, soda, brown bread, pastry, whipped/sour cream, waffles, mustard, preservation products, curd, pickled vegetables, soda, margarine, seasonal products, specialty chocolate, brown bread, soups, whipped/sour cream, bottled water, whipped/sour cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
