date_time,Transaction,Item,period_day,weekday_weekend
30-10-2016 09:58,1,Bread,morning,weekend
30-10-2016 10:05,2,Scandinavian,morning,weekend
30-10-2016 10:05,2,Scandinavian,morning,weekend
30-10-2016 10:07,3,Hot chocolate,morning,weekend
30-10-2016 10:07,3,Jam,morning,weekend
30-10-2016 10:07,3,Cookies,morning,weekend
30-10-2016 10:08,4,Muffin,morning,weekend
30-10-2016 10:13,5,Coffee,morning,weekend
30-10-2016 10:13,5,Pastry,morning,weekend
30-10-2016 10:13,5,Bread,morning,weekend
30-10-2016 10:16,6,Medialuna,morning,weekend
30-10-2016 10:16,6,Pastry,morning,weekend
30-10-2016 10:16,6,Muffin,morning,weekend
30-10-2016 10:19,7,Medialuna,morning,weekend
30-10-2016 10:19,7,Pastry,morning,weekend
30-10-2016 10:19,7,Coffee,morning,weekend
30-10-2016 10:19,7,Tea,morning,weekend
30-10-2016 10:20,8,Pastry,morning,weekend
30-10-2016 10:20,8,Bread,morning,weekend
30-10-2016 10:21,9,Bread,morning,weekend
30-10-2016 10:21,9,Muffin,morning,weekend
30-10-2016 10:25,10,Scandinavian,morning,weekend
30-10-2016 10:25,10,Medialuna,morning,weekend
30-10-2016 10:27,11,Bread,morning,weekend
30-10-2016 10:27,11,Medialuna,morning,weekend
30-10-2016 10:27,11,Bread,morning,weekend
30-10-2016 10:30,12,Jam,morning,weekend
30-10-2016 10:30,12,Coffee,morning,weekend
30-10-2016 10:30,12,Tartine,morning,weekend
30-10-2016 10:30,12,Pastry,morning,weekend
30-10-2016 10:30,12,Tea,morning,weekend
30-10-2016 10:31,13,Basket,morning,weekend
30-10-2016 10:31,13,Bread,morning,weekend
30-10-2016 10:31,13,Coffee,morning,weekend
30-10-2016 10:32,14,Bread,morning,weekend
30-10-2016 10:32,14,Medialuna,morning,weekend
30-10-2016 10:32,14,Pastry,morning,weekend
30-10-2016 10:34,15,Mineral water,morning,weekend
30-10-2016 10:34,15,Scandinavian,morning,weekend
30-10-2016 10:37,16,Bread,morning,weekend
30-10-2016 10:37,16,Medialuna,morning,weekend
30-10-2016 10:37,16,Coffee,morning,weekend
30-10-2016 10:38,17,Hot chocolate,morning,weekend
30-10-2016 10:41,18,Farm House,morning,weekend
30-10-2016 10:43,19,Farm House,morning,weekend
30-10-2016 10:43,19,Bread,morning,weekend
30-10-2016 10:45,20,Bread,morning,weekend
30-10-2016 10:45,20,Medialuna,morning,weekend
30-10-2016 10:49,21,Coffee,morning,weekend
30-10-2016 10:49,21,Coffee,morning,weekend
30-10-2016 10:49,21,Medialuna,morning,weekend
30-10-2016 10:49,21,Bread,morning,weekend
30-10-2016 10:52,22,Jam,morning,weekend
30-10-2016 10:53,23,Scandinavian,morning,weekend
30-10-2016 10:53,23,Muffin,morning,weekend
30-10-2016 10:54,24,Bread,morning,weekend
30-10-2016 10:55,25,Scandinavian,morning,weekend
30-10-2016 10:56,26,Fudge,morning,weekend
30-10-2016 11:02,27,Scandinavian,morning,weekend
30-10-2016 11:03,28,Coffee,morning,weekend
30-10-2016 11:03,28,Bread,morning,weekend
30-10-2016 11:05,29,Bread,morning,weekend
30-10-2016 11:05,29,Jam,morning,weekend
30-10-2016 11:07,30,Bread,morning,weekend
30-10-2016 11:12,31,Basket,morning,weekend
30-10-2016 11:16,32,Scandinavian,morning,weekend
30-10-2016 11:16,32,Muffin,morning,weekend
30-10-2016 11:22,33,Coffee,morning,weekend
30-10-2016 11:25,34,Coffee,morning,weekend
30-10-2016 11:25,34,Muffin,morning,weekend
30-10-2016 11:27,35,Muffin,morning,weekend
30-10-2016 11:27,35,Scandinavian,morning,weekend
30-10-2016 11:33,36,Tea,morning,weekend
30-10-2016 11:33,36,Bread,morning,weekend
30-10-2016 11:37,37,Coffee,morning,weekend
30-10-2016 11:37,37,Bread,morning,weekend
30-10-2016 11:42,38,Bread,morning,weekend
30-10-2016 11:42,38,Tea,morning,weekend
30-10-2016 11:44,39,Scandinavian,morning,weekend
30-10-2016 11:55,40,Juice,morning,weekend
30-10-2016 11:55,40,Tartine,morning,weekend
30-10-2016 11:55,40,Coffee,morning,weekend
30-10-2016 11:55,40,Muffin,morning,weekend
30-10-2016 11:57,41,Scandinavian,morning,weekend
30-10-2016 11:57,42,Bread,morning,weekend
30-10-2016 11:57,42,Tea,morning,weekend
30-10-2016 12:00,43,Scandinavian,afternoon,weekend
30-10-2016 12:00,43,Fudge,afternoon,weekend
30-10-2016 12:05,44,Coffee,afternoon,weekend
30-10-2016 12:05,44,Medialuna,afternoon,weekend
30-10-2016 12:08,45,Coffee,afternoon,weekend
30-10-2016 12:08,45,Hot chocolate,afternoon,weekend
30-10-2016 12:08,45,Medialuna,afternoon,weekend
30-10-2016 12:09,46,Coffee,afternoon,weekend
30-10-2016 12:15,47,Ella's Kitchen Pouches,afternoon,weekend
30-10-2016 12:15,47,Juice,afternoon,weekend
30-10-2016 12:15,47,Bread,afternoon,weekend
30-10-2016 12:15,47,Muffin,afternoon,weekend
30-10-2016 12:15,47,Jam,afternoon,weekend
30-10-2016 12:17,48,Coffee,afternoon,weekend
30-10-2016 12:23,49,Coffee,afternoon,weekend
30-10-2016 12:23,49,Coffee,afternoon,weekend
30-10-2016 12:23,49,Medialuna,afternoon,weekend
30-10-2016 12:25,50,Bread,afternoon,weekend
30-10-2016 12:25,50,Victorian Sponge,afternoon,weekend
30-10-2016 12:26,51,Bread,afternoon,weekend
30-10-2016 12:28,52,Scandinavian,afternoon,weekend
